profile,profile-href,Name,GRE,TOEFL,UG_Score,work_exp,paper,nexpage,nexpage-href,background,year
"shahriken007","https://yocket.in/profiles/shahriken007","","GRE

329 


Quant: 170

Verbal: 159","TOEFL
114","UG Score
8.09CGPA","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/64-columbia-university/2?page=2","Undergrad:

Computer Science from Alagappa College of Technology (ACT), Anna University Campus, Guindy, Chennai","Interested in Computer Science / Information Technology (Fall 2016)"
"james994","https://yocket.in/profiles/james994","","GRE

323 


Quant: 166

Verbal: 157","TOEFL
117","UG Score
9.19CGPA","Work Exp.
10 months","Tech Papers
International","","","Undergrad:

Computer Science from University of Mumbai, Mumbai","Interested in Computer Science / Information Technology (Fall 2016)"
"parth94","https://yocket.in/profiles/parth94","","GRE

332 


Quant: 170

Verbal: 162","TOEFL
107","UG Score
9.5CGPA","Work Exp.
2 months","Tech Papers
International","","","Undergrad:

Information Technology from NMIMS Mukesh Patel School of Technology and Management, Vile Parle, Mumbai","Computer Science (Fall 2016)"
"aritra7791","https://yocket.in/profiles/aritra7791","","GRE

325 


Quant: 170

Verbal: 155","TOEFL
112","UG Score
8.51CGPA","Work Exp.
30 months","Tech Papers
National","","","Undergrad:

Electronics and Communication Engineering from Indian Institute of Space Science and Technology, Thiruvananthapuram","Interested in Computer Science / Information Technology (Fall 2016)"
"shahsahilj","https://yocket.in/profiles/shahsahilj","","GRE

330 


Quant: 170

Verbal: 160","TOEFL
109","UG Score
8.5CGPA","Work Exp.
10 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/64-columbia-university/2?page=2","Undergrad:

NA","Interested in Computer Science / Information Technology (Fall 2015)"
"karthikjampani","https://yocket.in/profiles/karthikjampani","","GRE

326 


Quant: 169

Verbal: 157","IELTS
7","UG Score
9.19CGPA","Work Exp.
48 months","Tech Papers
International","","","Undergrad:

Electrical and Electronics Engineering from Acharya nagarjuna university, Guntur","Computer Science (Fall 2016)"
"srihari94atgmail.com","https://yocket.in/profiles/srihari94atgmail.com","","GRE

329 


Quant: 162

Verbal: 167","TOEFL
114","UG Score
8.98CGPA","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/64-columbia-university/2?page=2","Undergrad:

Computer Science from SRM University (Kattankulathur Campus), Chennai","Interested in Computer Science / Information Technology (Spring 2016)"
"siddharthachandra.stupidsid","https://yocket.in/profiles/siddharthachandra.stupidsid","","GRE

325 


Quant: 165

Verbal: 160","TOEFL
114","UG Score
61%","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/64-columbia-university/2?page=2","Undergrad:

Electrical and Electronics Engineering from Sardar Patel College Of Engineering, (SPCE), Andheri, Mumbai","Computer Science (Fall 2013)"
"sagardmni","https://yocket.in/profiles/sagardmni","","GRE

333 


Quant: 165

Verbal: 168","TOEFL
117","UG Score
75%","Work Exp.
30 months","Tech Papers
None","","","Undergrad:

Computer Science from Pune Institute Of Computer Technology, Dhakavdi, Pune","Interested in Computer Science / Information Technology (Fall 2016)"
"anthaceorote","https://yocket.in/profiles/anthaceorote","","GRE

326 


Quant: 170

Verbal: 156","TOEFL
113","UG Score
3.68CGPA","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/64-columbia-university/2?page=2","Undergrad:

NA","Computer Engineering (Fall 2015)"
"amoltandel","https://yocket.in/profiles/amoltandel","","GRE

324 


Quant: 168

Verbal: 156","TOEFL
106","UG Score
9.15CGPA","Work Exp.
1 month","Tech Papers
International","","","Undergrad:

Computer Science from Vivekanand Education Society's Institute Of Technology (VESIT), Chembur, Mumbai","Computer Science (Fall 2016)"
"qwertyasfuck","https://yocket.in/profiles/qwertyasfuck","","GRE

328 


Quant: 170

Verbal: 158","TOEFL
114","UG Score
6.5CGPA","Work Exp.
30 months","Tech Papers
International","","","Undergrad:

Computer Science from Indian Institute of Technology, Guwahati (IIT-G), Guwahati","Interested in Computer Science / Information Technology (Fall 2016)"
"bharath1294","https://yocket.in/profiles/bharath1294","","GRE

320 


Quant: 170

Verbal: 150","TOEFL
100","UG Score
9.33CGPA","Work Exp.
NA","Tech Papers
None","","","Undergrad:

Electronics and Communication Engineering from Manipal Institute of Technology (MIT), Manipal","Electrical & Computer Engineering (Spring 2017)"
"sj1992","https://yocket.in/profiles/sj1992","","GRE

332 


Quant: 168

Verbal: 164","TOEFL
108","UG Score
7.82CGPA","Work Exp.
20 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/64-columbia-university/2?page=2","Undergrad:

NA","Interested in Computer Science / Information Technology (Fall 2015)"
